Time,Lead I,Lead II,Lead III,aVR,aVL,aVF
1.535,-0.0512825,0.183308,0.23459,-0.0762249,-0.165049,0.241274
1.54,-0.0557527,0.180565,0.236317,-0.0720603,-0.168627,0.240687
1.545,-0.0614472,0.174129,0.235576,-0.065057,-0.171487,0.236544
1.55,-0.0742213,0.167023,0.241244,-0.053579,-0.182134,0.235713
1.555,-0.0933878,0.161424,0.254812,-0.0392809,-0.201033,0.240314
1.56,-0.113603,0.157042,0.270644,-0.0250795,-0.221845,0.246924
1.565,-0.129541,0.15279,0.282332,-0.0134226,-0.237795,0.251218
1.57,-0.13953,0.148152,0.287682,-0.00497789,-0.246651,0.251629
1.575,-0.144273,0.144862,0.289135,-0.000339963,-0.250228,0.250568
1.58,-0.144859,0.14393,0.28879,0.000536297,-0.250367,0.249831
1.585,-0.142979,0.14428,0.287259,-0.000751351,-0.248398,0.249149
1.59,-0.139144,0.144952,0.284096,-0.00335299,-0.244358,0.247711
1.595,-0.133555,0.145562,0.279117,-0.00693248,-0.238256,0.245189
1.6,-0.129859,0.146975,0.276834,-0.00988176,-0.234804,0.244686
1.605,-0.131715,0.150243,0.281958,-0.010697,-0.238834,0.249531
1.61,-0.137345,0.155197,0.292542,-0.0103067,-0.248195,0.258502
1.615,-0.142835,0.160784,0.303619,-0.0103625,-0.257761,0.268123
1.62,-0.146594,0.166023,0.312617,-0.0112172,-0.265126,0.276343
1.625,-0.147872,0.170758,0.31863,-0.0132128,-0.269335,0.282548
1.63,-0.145578,0.175254,0.320832,-0.0171331,-0.269282,0.286415
1.635,-0.139765,0.179227,0.318992,-0.0227834,-0.264864,0.287647
1.64,-0.132463,0.182379,0.314842,-0.0288188,-0.258252,0.28707
1.645,-0.125464,0.184721,0.310186,-0.034212,-0.251522,0.285734
1.65,-0.120473,0.185843,0.306315,-0.0377414,-0.246406,0.284147
1.655,-0.119901,0.184981,0.304882,-0.0375735,-0.245249,0.282822
1.66,-0.124467,0.18329,0.307756,-0.0339615,-0.249544,0.283506
1.665,-0.13273,0.183748,0.316478,-0.0294554,-0.25935,0.288806
1.67,-0.141058,0.187598,0.328656,-0.0268694,-0.27119,0.298059
1.675,-0.145379,0.192845,0.338224,-0.0274048,-0.279208,0.306613
1.68,-0.143716,0.196113,0.339829,-0.0302518,-0.279174,0.309426
1.685,-0.137629,0.196456,0.334085,-0.0339635,-0.272344,0.306307
1.69,-0.131259,0.195331,0.32659,-0.0369917,-0.264339,0.301331
1.695,-0.127592,0.193309,0.320901,-0.0379417,-0.258938,0.296879
1.7,-0.128263,0.19096,0.319223,-0.0361983,-0.258356,0.294554
1.705,-0.133999,0.188397,0.322396,-0.0314069,-0.263499,0.294906
1.71,-0.142309,0.185251,0.327559,-0.0247927,-0.271278,0.296071
1.715,-0.147768,0.181747,0.329515,-0.0196179,-0.275559,0.295177
1.72,-0.148395,0.178558,0.326953,-0.0174143,-0.274443,0.291857
1.725,-0.14672,0.176531,0.323251,-0.0172118,-0.271337,0.288549
1.73,-0.144411,0.175287,0.319699,-0.0178262,-0.267954,0.28578
1.735,-0.141716,0.174002,0.315718,-0.0186401,-0.264099,0.28274
1.74,-0.139545,0.172078,0.311623,-0.0187833,-0.260482,0.279265
1.745,-0.138946,0.168466,0.307412,-0.017043,-0.257705,0.274748
1.75,-0.14165,0.164041,0.305691,-0.0129274,-0.258273,0.2712
1.755,-0.148248,0.161348,0.309596,-0.0075635,-0.264336,0.271899
1.76,-0.155479,0.161604,0.317083,-0.00353608,-0.272834,0.27637
1.765,-0.15868,0.164222,0.322901,-0.00319959,-0.278041,0.28124
1.77,-0.157194,0.167569,0.324763,-0.00599013,-0.278258,0.284248
1.775,-0.153627,0.169135,0.322762,-0.00895334,-0.275044,0.283997
